[Learner] Device: cuda
[Learner] Resuming from checkpoints/train_ckpt_step156000.pt
[Learner] Resumed at step 156000
[Learner] Waiting for 1000 transitions in buffer...
[Learner] Buffer ready: ~1897920 transitions (23724 files)
[ReplayBuffer] Added 45495 transitions, buffer size=45495

  Step 159400 | V=+1.997 Q=+1.971 actor_loss=+2.3355 ratio=10.000 adv_raw=-0.333±0.538 gnorm=0.00 buf=45,495
  Step 159500 | V=+1.811 Q=+1.821 actor_loss=+2.1992 ratio=10.000 adv_raw=-0.297±0.455 gnorm=0.00 buf=45,495
  Step 159600 | V=+1.871 Q=+1.876 actor_loss=+2.3767 ratio=10.000 adv_raw=-0.317±0.520 gnorm=0.00 buf=45,495
  Step 159700 | V=+2.072 Q=+2.078 actor_loss=+2.5016 ratio=10.000 adv_raw=-0.375±0.544 gnorm=0.00 buf=45,495
  Step 159800 | V=+1.937 Q=+1.945 actor_loss=+2.4721 ratio=10.000 adv_raw=-0.383±0.576 gnorm=0.00 buf=45,495
  Step 159900 | V=+1.819 Q=+1.811 actor_loss=+2.4804 ratio=10.000 adv_raw=-0.325±0.518 gnorm=0.00 buf=45,495
  Step 160000 | V=+2.028 Q=+1.989 actor_loss=+2.7151 ratio=10.000 adv_raw=-0.380±0.512 gnorm=0.00 buf=45,495
[Learner] Saved checkpoint → checkpoints/train_ckpt_step160000.pt
  Step 160100 | V=+2.075 Q=+2.060 actor_loss=+2.8302 ratio=10.000 adv_raw=-0.341±0.493 gnorm=0.00 buf=45,495
  Step 160200 | V=+1.633 Q=+1.651 actor_loss=+2.8202 ratio=10.000 adv_raw=-0.352±0.493 gnorm=0.00 buf=45,495
  Step 160300 | V=+1.684 Q=+1.709 actor_loss=+2.6507 ratio=10.000 adv_raw=-0.329±0.484 gnorm=0.00 buf=45,495
  Step 160400 | V=+1.718 Q=+1.697 actor_loss=+2.7419 ratio=10.000 adv_raw=-0.331±0.439 gnorm=0.00 buf=45,495
  Step 160500 | V=+1.485 Q=+1.490 actor_loss=+2.7307 ratio=10.000 adv_raw=-0.283±0.378 gnorm=0.00 buf=45,495
  Step 160600 | V=+1.900 Q=+1.898 actor_loss=+2.8175 ratio=10.000 adv_raw=-0.254±0.376 gnorm=0.00 buf=45,495
  Step 160700 | V=+1.778 Q=+1.800 actor_loss=+2.7196 ratio=10.000 adv_raw=-0.376±0.544 gnorm=0.00 buf=45,495
  Step 160800 | V=+1.777 Q=+1.794 actor_loss=+2.6444 ratio=10.000 adv_raw=-0.306±0.503 gnorm=0.00 buf=45,495
